,index,r,l,t
171,171,40.797872,14,35.93282890319824
172,172,52.953624,21,36.12191295623779
173,173,44.478578999999996,16,36.26643395423889
174,174,40.797872,14,36.39585304260254
175,175,42.748096000000004,15,36.53157711029053
176,176,45.966967,17,36.6849570274353
177,177,43.156828000000004,16,36.86425995826721
178,178,45.966967,17,37.02739191055298
179,179,44.478578999999996,16,38.62918400764465
180,180,46.445545,17,38.826229095458984
181,181,49.07972,20,39.03166389465332
182,182,47.189338,18,39.20491909980774
183,183,40.608311,14,39.342653036117554
184,184,44.478578999999996,16,39.48373103141785
185,185,47.189338,18,39.64509201049805
186,186,53.094822,21,39.83326005935669
187,187,49.89467,20,40.01020908355713
188,188,49.030111,20,40.18454194068909
189,189,42.322044,15,40.329185009002686
190,190,45.324339,17,40.48866295814514
191,191,49.030111,20,40.66132998466492
192,192,49.030111,20,40.84088110923767
193,193,43.94502,16,41.005374908447266
194,194,47.077658,17,41.16329598426819
195,195,55.153691,22,41.36304593086243
196,196,44.478578999999996,16,41.506290912628174
197,197,42.665199,15,41.646075963974
198,198,48.218901,19,41.82914710044861
199,199,49.989062,20,42.01469397544861
200,200,40.936281,15,42.16849899291992
201,201,48.120111,19,42.33736491203308
202,202,42.661296,15,42.47869300842285
203,203,41.311434000000006,15,42.63157296180725
204,204,49.736429,20,42.8174250125885
205,205,47.013501,18,42.99756097793579
206,206,41.969826,15,43.17512798309326
207,207,49.151296,19,43.36839294433594
208,208,47.189338,18,43.53575611114502
209,209,47.189338,18,43.70444703102112
210,210,42.504152000000005,15,43.86653995513916
211,211,34.720649,12,43.98477005958557
212,212,49.015931,19,44.16213393211365
213,213,42.748096000000004,15,44.301188945770264
214,214,49.030111,20,44.48426294326782
215,215,47.189338,18,44.65190410614014
216,216,44.478578999999996,16,44.798115968704224
217,217,43.972961,16,44.94601893424988
218,218,49.030111,20,45.13098907470703
219,219,45.241541999999995,17,45.30692791938782
220,220,49.030111,20,45.490833044052124
221,221,49.162859000000005,19,45.67089509963989
222,222,49.030111,20,45.8502459526062
223,223,47.536837,17,46.012938022613525
